epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.6299,1.43971,0.75,1,0.87995,0.0002375,0.0002375,0.0002375
2,20.0215,0.76379,0.93182,1,0.35177,0.000477848,0.000477848,0.000477848
3,28.6148,0.40322,1,1,0.11998,0.000708295,0.000708295,0.000708295
4,37.4171,0.28765,1,1,0.06103,0.000928842,0.000928842,0.000928842
5,46.5739,0.16436,0.95455,1,0.10241,0.00113949,0.00113949,0.00113949
6,56.576,0.28985,0.97727,1,0.08179,0.00112625,0.00112625,0.00112625
7,65.8633,0.15915,0.95455,1,0.08385,0.0011015,0.0011015,0.0011015
8,74.911,0.20094,0.93182,1,0.12395,0.00107675,0.00107675,0.00107675
9,81.8116,0.1806,0.93182,1,0.12213,0.001052,0.001052,0.001052
10,88.9609,0.13979,0.93182,1,0.18474,0.00102725,0.00102725,0.00102725
11,96.4807,0.18155,0.95455,1,0.17437,0.0010025,0.0010025,0.0010025
12,104.044,0.22062,0.95455,1,0.24894,0.00097775,0.00097775,0.00097775
13,111.094,0.18244,0.86364,1,0.30823,0.000953,0.000953,0.000953
14,118.234,0.0882,0.88636,1,0.36385,0.00092825,0.00092825,0.00092825
15,125.702,0.19675,0.90909,1,0.28273,0.0009035,0.0009035,0.0009035
16,132.523,0.09206,0.93182,1,0.25766,0.00087875,0.00087875,0.00087875
17,139.688,0.12745,0.93182,1,0.25852,0.000854,0.000854,0.000854
18,146.764,0.2302,0.93182,1,0.16209,0.00082925,0.00082925,0.00082925
19,153.646,0.22295,0.97727,1,0.05003,0.0008045,0.0008045,0.0008045
20,161.031,0.14462,0.95455,1,0.07447,0.00077975,0.00077975,0.00077975
21,168.521,0.10825,0.95455,1,0.07679,0.000755,0.000755,0.000755
22,175.583,0.15327,0.95455,1,0.10352,0.00073025,0.00073025,0.00073025
23,183.167,0.1365,0.95455,1,0.10652,0.0007055,0.0007055,0.0007055
24,190.179,0.12712,0.93182,1,0.12938,0.00068075,0.00068075,0.00068075
25,197.15,0.17037,0.95455,1,0.11898,0.000656,0.000656,0.000656
26,204.273,0.09164,0.93182,1,0.12244,0.00063125,0.00063125,0.00063125
27,211.373,0.14012,0.95455,1,0.10114,0.0006065,0.0006065,0.0006065
28,218.347,0.08625,0.97727,1,0.11553,0.00058175,0.00058175,0.00058175
29,225.766,0.04814,0.95455,1,0.17335,0.000557,0.000557,0.000557
30,233.154,0.04511,0.95455,1,0.17375,0.00053225,0.00053225,0.00053225
31,240.679,0.06569,0.95455,1,0.16073,0.0005075,0.0005075,0.0005075
32,247.672,0.08451,0.95455,1,0.13646,0.00048275,0.00048275,0.00048275
33,254.512,0.03594,0.95455,1,0.07825,0.000458,0.000458,0.000458
34,261.453,0.10693,0.97727,1,0.06216,0.00043325,0.00043325,0.00043325
35,268.451,0.0944,0.97727,1,0.08424,0.0004085,0.0004085,0.0004085
36,275.571,0.06396,1,1,0.06338,0.00038375,0.00038375,0.00038375
37,282.837,0.06316,0.97727,1,0.08774,0.000359,0.000359,0.000359
38,290.11,0.07289,1,1,0.08245,0.00033425,0.00033425,0.00033425
39,297.593,0.08537,0.97727,1,0.08082,0.0003095,0.0003095,0.0003095
40,305.173,0.06702,1,1,0.06792,0.00028475,0.00028475,0.00028475
41,312.704,0.06102,0.97727,1,0.06726,0.00026,0.00026,0.00026
42,319.852,0.04235,1,1,0.06185,0.00023525,0.00023525,0.00023525
43,327.028,0.08879,1,1,0.04847,0.0002105,0.0002105,0.0002105
44,334.652,0.01943,1,1,0.05221,0.00018575,0.00018575,0.00018575
45,342.266,0.05816,1,1,0.04371,0.000161,0.000161,0.000161
46,349.657,0.02239,1,1,0.0493,0.00013625,0.00013625,0.00013625
47,356.889,0.06272,1,1,0.03801,0.0001115,0.0001115,0.0001115
48,364.547,0.02364,1,1,0.04031,8.675e-05,8.675e-05,8.675e-05
49,371.891,0.01618,1,1,0.04471,6.2e-05,6.2e-05,6.2e-05
50,379.184,0.0113,1,1,0.0363,3.725e-05,3.725e-05,3.725e-05
